Protocol,p_flip,p_loss,Pmin_auth,Pmax_auth,Pmin_attack,Pmax_attack,Pmin_loss,Pmax_loss,Pmin_replay,Pmax_replay,R_bytes_min,R_bytes_max,R_msgs_min,R_msgs_max
CoAP-EAP,0.01,0.02,
CoAP-EAP,0.01,0.04,
CoAP-EAP,0.02,0.02,
CoAP-EAP,0.02,0.04,
CoAP-EAP,0.05,0.02,
CoAP-EAP,0.05,0.04,
LO-CoAP-EAP,0.01,0.02,
LO-CoAP-EAP,0.01,0.04,
LO-CoAP-EAP,0.02,0.02,
LO-CoAP-EAP,0.02,0.04,
LO-CoAP-EAP,0.05,0.02,
LO-CoAP-EAP,0.05,0.04,
